tomo,total,ok,ok_cortado_en_indice,pagina_no_en_mapa,ultimo_del_tomo,ultimo_del_tomo_sin_fin,pagina_fin_no_en_mapa,fallo_cruza_archivos
329,1063,1059,1,0,0,0,0,3
330,757,753,1,0,0,0,0,3
331,376,362,1,11,0,0,0,2
332,330,316,1,11,0,0,0,2
333,252,238,1,11,0,0,0,2
334,199,186,1,10,0,0,0,2
337,130,128,1,0,0,0,0,1
338,167,165,1,0,0,0,0,1
339,328,326,1,0,0,0,0,1
340,277,275,1,0,0,0,0,1
341,241,239,1,0,0,0,0,1
342,219,217,1,0,0,0,0,1
343,239,236,1,0,0,0,0,2
344,321,318,1,0,0,0,0,2
345,219,217,1,0,0,0,0,1
346,208,206,1,0,0,0,0,1
347,240,238,1,0,0,0,0,1
348,251,250,1,0,0,0,0,0
349,45,44,1,0,0,0,0,0
